ID,Num,Question,flip_scale
Atr1,1," If one of us apologizes when our discussion deteriorates, the discussion ends",1
Atr2,2," I know we can ignore our differences, even if things get hard sometimes",1
Atr3,3," When we need it, we can take our discussions with my spouse from the beginning and correct it",1
Atr4,4," When I discuss with my spouse, to contact him will eventually work",1
Atr5,5, The time I spent with my wife is special for us,1
Atr6,6, We don't have time at home as partners,0
Atr7,7, We are like two strangers who share the same environment at home rather than family,0
Atr8,8, I enjoy our holidays with my wife,1
Atr9,9, I enjoy traveling with my wife,1
Atr10,10, Most of our goals are common to my spouse,1
Atr11,11," I think that one day in the future, when I look back, I see that my spouse and I have been in harmony with each other",1
Atr12,12, My spouse and I have similar values in terms of personal freedom,1
Atr13,13, My spouse and I have similar sense of entertainment,1
Atr14,14," Most of our goals for people (children, friends, etc.) are the same",1
Atr15,15, Our dreams with my spouse are similar and harmonious,1
Atr16,16, We're compatible with my spouse about what love should be,1
Atr17,17, We share the same views about being happy in our life with my spouse,1
Atr18,18, My spouse and I have similar ideas about how marriage should be,1
Atr19,19, My spouse and I have similar ideas about how roles should be in marriage,1
Atr20,20, My spouse and I have similar values in trust,1
Atr21,21, I know exactly what my wife likes,1
Atr22,22, I know how my spouse wants to be taken care of when she/he sick,1
Atr23,23, I know my spouse's favorite food,1
Atr24,24, I can tell you what kind of stress my spouse is facing in her/his life,1
Atr25,25, I have knowledge of my spouse's inner world,1
Atr26,26, I know my spouse's basic anxieties,1
Atr27,27, I know what my spouse's current sources of stress are,1
Atr28,28, I know my spouse's hopes and wishes,1
Atr29,29, I know my spouse very well,1
Atr30,30, I know my spouse's friends and their social relationships,1
Atr31,31, I feel aggressive when I argue with my spouse,0
Atr32,32," When discussing with my spouse, I usually use expressions such as ‘you always’ or ‘you never’ ",0
Atr33,33, I can use negative statements about my spouse's personality during our discussions,0
Atr34,34, I can use offensive expressions during our discussions,0
Atr35,35, I can insult my spouse during our discussions,0
Atr36,36, I can be humiliating when we discussions,0
Atr37,37, My discussion with my spouse is not calm,0
Atr38,38, I hate my spouse's way of open a subject,0
Atr39,39, Our discussions often occur suddenly,0
Atr40,40, We're just starting a discussion before I know what's going on,0
Atr41,41," When I talk to my spouse about something, my calm suddenly breaks",0
Atr42,42," When I argue with my spouse, ı only go out and I don't say a word",0
Atr43,43, I mostly stay silent to calm the environment a little bit,1
Atr44,44, Sometimes I think it's good for me to leave home for a while,0
Atr45,45, I'd rather stay silent than discuss with my spouse,0
Atr46,46," Even if I'm right in the discussion, I stay silent to hurt my spouse",0
Atr47,47," When I discuss with my spouse, I stay silent because I am afraid of not being able to control my anger",0
Atr48,48, I feel right in our discussions,0
Atr49,49, I have nothing to do with what I've been accused of,0
Atr50,50, I'm not actually the one who's guilty about what I'm accused of,0
Atr51,51, I'm not the one who's wrong about problems at home,0
Atr52,52, I wouldn't hesitate to tell my spouse about her/his inadequacy,0
Atr53,53," When I discuss, I remind my spouse of her/his inadequacy",0
Atr54,54, I'm not afraid to tell my spouse about her/his incompetence,0
